name,year,tasks,modality,domain,size,categories,annotations,paper_url,homepage_url,download_url,license,status,verified_on,notes
VGG Synthetic Cells,2010,class-specific counting;cell counting,synthetic microscopy image,cellular microscopy,200 images,1,cell-center points;counts,https://proceedings.neurips.cc/paper/2010/hash/fe73f687e5bc5280214e0486b273a5f9-Abstract.html,https://robots.ox.ac.uk/~vgg/research/counting/index.html,,unknown,verified,2026-08-10,Classical synthetic cell-counting benchmark. AcademicTorrents hosts a mirror but is not treated as the official homepage.
UCF_CC_50,2013,class-specific counting;crowd counting,image,crowd,"50 images;63,974 person annotations",1,head points;image-level counts,https://openaccess.thecvf.com/content_cvpr_2013/html/Idrees_Multi-source_Multi-scale_Counting_2013_CVPR_paper.html,,,unknown,verified,2026-08-10,Extremely dense still-image benchmark introduced with the CVPR 2013 paper; no reliable first-party dataset homepage was confirmed.
CVPPP Leaf Counting Challenge,2015,leaf counting;plant phenotyping;instance segmentation,plant image,agriculture,"1,311 images;about 18,016 leaf instances across commonly aggregated releases",1 leaf category,leaf centers;instance masks;image-level counts,https://doi.org/10.5244/C.29.CVPPP.1,https://www.plant-phenotyping.org/datasets-home,https://www.plant-phenotyping.org/datasets-home,research/challenge terms; exact license unknown,verified,2026-08-10,A1-A5 subsets differ in species acquisition and annotation availability; retain subset identity.
TRANCOS,2015,class-specific counting;vehicle counting,image,vehicle;traffic,"1,244 images;46,796 vehicles",1,vehicle-center points;ROI masks;image-level counts,https://doi.org/10.1016/j.neucom.2015.02.101,https://gram.web.uah.es/data/datasets/trancos/index.html,https://gram.web.uah.es/data/datasets/trancos/index.html,unknown,verified,2026-08-10,Static traffic-camera images; not a line-crossing or traffic-flow dataset.
WorldExpo'10,2015,class-specific counting;crowd counting;cross-scene counting,video frames,crowd,"3,980 frames;225,216 person annotations",1,head points;ROI masks;perspective maps,https://openaccess.thecvf.com/content_cvpr_2015/html/Zhang_Cross-Scene_Crowd_Counting_2015_CVPR_paper.html,,,unknown,verified,2026-08-10,Surveillance-video frames normally evaluated independently; no reliable current first-party download entry was confirmed.
COWC,2016,class-specific counting;vehicle counting;detection,large aerial image,vehicle;remote sensing,"53 large image scenes;32,716 annotated cars",1,axis-aligned boxes;counts,https://arxiv.org/abs/1609.04453,https://gdo152.llnl.gov/cowc/,https://gdo152.llnl.gov/cowc/,unknown,verified,2026-08-10,Cars Overhead With Context; source imagery and negative examples may have source-specific terms.
Penguin Counting Dataset,2016,class-specific counting;animal counting;crowd-sourced counting,time-lapse image,wildlife,"80,095 images;575,082 annotated penguins",1,crowd-sourced points;annotator uncertainty;counts,https://ora.ox.ac.uk/objects/uuid%3A9bb7cbd9-42fc-416a-9cca-dd07c25f9fb1,https://www.robots.ox.ac.uk/~vgg/research/counting/index.html,,unknown,verified,2026-08-10,Released with Counting in the Wild; annotations originate from Penguin Watch volunteers; a stable direct dataset archive was not confirmed.
ShanghaiTech,2016,class-specific counting;crowd counting,image,crowd,"1,198 images;330,165 annotated people",1,head-center points;image-level counts,https://openaccess.thecvf.com/content_cvpr_2016/html/Zhang_Single-Image_Crowd_Counting_CVPR_2016_paper.html,,,unknown,verified,2026-08-10,Part A has 482 images and Part B has 716 images. Public Kaggle copies are mirrors and are intentionally not recorded as the official homepage.
CARPK,2017,class-specific counting;vehicle counting;counting and localization,image from drone video,vehicle;remote sensing,"1,448 images;89,777 cars",1,axis-aligned boxes;image-level counts,https://openaccess.thecvf.com/content_iccv_2017/html/Hsieh_Drone-Based_Object_Counting_ICCV_2017_paper.html,https://lafi.github.io/LPN/,https://lafi.github.io/LPN/,request/EULA; exact license unknown,verified,2026-08-10,Parking-lot car counting benchmark; official archive is distributed jointly with PUCPR+.
MoNuSeg,2017,nuclei segmentation;counting,histopathology image,histopathology,44 images,1 nucleus category,instance masks;centroids derivable,https://doi.org/10.1109/TMI.2017.2677499,https://monuseg.grand-challenge.org/Data/,https://monuseg.grand-challenge.org/Data/,challenge terms; exact license unknown,verified,2026-08-10,30 training and 14 test images; counting is derived from exhaustive masks.
MTC,2017,maize tassel counting,field image,agriculture,361 images,1 tassel category,dot annotations;image-level counts,https://doi.org/10.1186/s13007-017-0224-0,https://github.com/poppinace/mtc,https://github.com/poppinace/mtc,academic use only,verified,2026-08-10,Official repository states six maize cultivars and four experimental fields.
PUCPR+,2017,class-specific counting;vehicle counting;counting and localization,image,vehicle;surveillance,125 images;instance total unknown,1,axis-aligned boxes;image-level counts,https://openaccess.thecvf.com/content_iccv_2017/html/Hsieh_Drone-Based_Object_Counting_ICCV_2017_paper.html,https://lafi.github.io/LPN/,https://lafi.github.io/LPN/,request/EULA; exact license unknown,candidate,2026-08-10,Distinct dataset from CARPK despite the combined download archive; total instance count remains unverified.
UCF-QNRF,2018,class-specific counting;crowd counting;localization,image,crowd,"1,535 images;1,251,642 person annotations",1,head points;image-level counts,https://arxiv.org/abs/1807.09697,https://www.crcv.ucf.edu/research/data-sets/ucf-qnrf/,https://www.crcv.ucf.edu/research/data-sets/ucf-qnrf/,research access terms; exact license unknown,verified,2026-08-10,"Official UCF page confirms 1,201 training and 334 test images."
FDST,2019,class-specific counting;crowd counting;video crowd counting,video frames,crowd,"15,000 frames;394,081 head annotations",1,head points;frame counts,https://arxiv.org/abs/1907.02749,https://github.com/sweetyy83/Lstn_fdst_dataset,https://github.com/sweetyy83/Lstn_fdst_dataset,unknown,verified,2026-08-10,Collected from 13 scenes with temporal sequences.
