method,venue,year,prompt,training_setting,split_or_domain,metric,value,source_url,source_location,status,verified_on,notes
LOCA,ICCV,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,MAE,68.09,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
LOCA,ICCV,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,RMSE,179.34,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
LOCA,ICCV,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,NAE,14.7,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
LOCA,ICCV,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,General Scene,MAE,53.45,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
LOCA,ICCV,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Remote Sensing,MAE,81.41,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
LOCA,ICCV,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Histopathology,MAE,65.86,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
LOCA,ICCV,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Cellular Microscopy,MAE,124.36,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
LOCA,ICCV,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Agriculture,MAE,473.81,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
LOCA,ICCV,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Microbiology,MAE,39.47,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CLIP-Count,ACM MM,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,MAE,30.97,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CLIP-Count,ACM MM,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,RMSE,119.65,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CLIP-Count,ACM MM,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,NAE,4.48,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CLIP-Count,ACM MM,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,General Scene,MAE,23.28,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CLIP-Count,ACM MM,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Remote Sensing,MAE,25.82,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CLIP-Count,ACM MM,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Histopathology,MAE,57.98,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CLIP-Count,ACM MM,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Cellular Microscopy,MAE,121.17,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CLIP-Count,ACM MM,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Agriculture,MAE,298.45,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CLIP-Count,ACM MM,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Microbiology,MAE,22.4,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CounTX,BMVC,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,MAE,31.79,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CounTX,BMVC,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,RMSE,123.17,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CounTX,BMVC,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,NAE,4.74,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CounTX,BMVC,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,General Scene,MAE,22.79,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CounTX,BMVC,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Remote Sensing,MAE,30.07,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CounTX,BMVC,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Histopathology,MAE,64.64,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CounTX,BMVC,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Cellular Microscopy,MAE,112.22,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CounTX,BMVC,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Agriculture,MAE,301.1,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CounTX,BMVC,2023,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Microbiology,MAE,27.41,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VLCounter,AAAI,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,MAE,30.24,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VLCounter,AAAI,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,RMSE,123.09,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VLCounter,AAAI,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,NAE,3.06,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
