protocol,method,venue,year,prompt,training_setting,split,mae,rmse,source_url,source_location,status,verified_on,notes
standard_3shot_trained,FamNet,CVPR,2021,3 visual exemplars,FSC-147 training; ImageNet-pretrained backbone; test-time adaptation,FSC-147 test,22.08,99.54,https://openaccess.thecvf.com/content/CVPR2021/papers/Ranjan_Learning_To_Count_Everything_CVPR_2021_paper.pdf,Table 1; paper p.3399 / PDF p.6,verified,2026-08-10,Final FamNet includes TTA; later papers sometimes call this FamNet+.
standard_3shot_trained,BMNet+,CVPR,2022,3 visual exemplars,FSC-147 training; SwAV-pretrained backbone; no test-time fine-tuning,FSC-147 test,14.62,91.83,https://openaccess.thecvf.com/content/CVPR2022/papers/Shi_Represent_Compare_and_Learn_A_Similarity-Aware_Framework_for_Class-Agnostic_Counting_CVPR_2022_paper.pdf,Table 1; paper p.9533 / PDF p.5,verified,2026-08-10,Some paper table versions label the RMSE column as MSE.
standard_3shot_trained,CounTR,BMVC,2022,3 visual exemplars,self-supervised MAE pretraining; FSC-147 supervised training; synthetic mosaics; test-time normalization,FSC-147 test,11.95,91.23,https://www.robots.ox.ac.uk/~vgg/publications/2022/Liu22/liu22.pdf,Tables 1-2; PDF pp.9-10,verified,2026-08-10,E3 setting; full original test split.
standard_3shot_trained,SAFECount,WACV,2023,3 visual exemplars,FSC-147 training; frozen ImageNet-pretrained ResNet-18; no TTA,FSC-147 test,14.32,85.54,https://openaccess.thecvf.com/content/WACV2023/papers/You_Few-Shot_Object_Counting_With_Similarity-Aware_Feature_Enhancement_WACV_2023_paper.pdf,Table 2; paper p.6319 / PDF p.6,verified,2026-08-10,Standard three-box protocol.
standard_3shot_trained,LOCA,ICCV,2023,3 visual exemplars,FSC-147 training; SwAV-pretrained backbone; no gradient-based TTA,FSC-147 test,10.79,56.97,https://openaccess.thecvf.com/content/ICCV2023/papers/Dukic_A_Low-Shot_Object_Counting_Network_With_Iterative_Prototype_Adaptation_ICCV_2023_paper.pdf,Table 1; paper p.18876 / PDF p.6,verified,2026-08-10,Use original-paper MAE 10.79; some later tables copy 10.97.
standard_3shot_trained,CACViT,AAAI,2024,3 visual exemplars,FSC-147 training; pretrained plain ViT,FSC-147 test,9.13,48.96,https://ojs.aaai.org/index.php/AAAI/article/view/28396,Table 1,verified,2026-08-10,Cross-checked against CountSE and CountingDINO tables.
standard_3shot_trained,DAVE-density,CVPR,2024,3 visual exemplars,FSC-147 training; mixed-class augmentation; density/count output,FSC-147 test,8.66,32.36,https://openaccess.thecvf.com/content/CVPR2024/papers/Pelhan_DAVE_-_A_Detect-and-Verify_Paradigm_for_Low-Shot_Counting_CVPR_2024_paper.pdf,Table 1; paper p.23297 / PDF p.6,verified,2026-08-10,Density-map integration result; distinct from DAVEbox.
text_only_standard_gt,ZSC,CVPR,2023,text class name,FSC-147 training; vision-language pretrained representations,FSC-147 test,22.09,115.17,https://openaccess.thecvf.com/content/CVPR2023/papers/Xu_Zero-Shot_Object_Counting_CVPR_2023_paper.pdf,Main FSC-147 comparison table,verified,2026-08-10,Zero-shot means no visual exemplar; it does not mean no FSC-147 training.
text_only_standard_gt,CLIP-Count,ACM MM,2023,text class name,FSC-147 training; CLIP pretrained,FSC-147 test,17.78,106.62,https://arxiv.org/pdf/2305.07304,Table 1,verified,2026-08-10,Text-only input.
text_only_standard_gt,CounTX-class-name,BMVC,2023,original FSC-147 class name,trained on FSC-147-D; CLIP encoders; mosaicing,FSC-147 test,15.73,106.88,https://papers.bmvc2023.org/0510.pdf,Table 1; PDF p.7,verified,2026-08-10,Keep separate from rich-description prompt.
text_only_standard_gt,CounTX-description,BMVC,2023,FSC-147-D rich text description,trained on FSC-147-D; CLIP encoders; mosaicing,FSC-147 test,15.88,106.29,https://papers.bmvc2023.org/0510.pdf,Table 1; PDF p.7,verified,2026-08-10,Do not merge with class-name prompt.
text_only_standard_gt,VLCounter,AAAI,2024,text class name,FSC-147 training; vision-language pretraining,FSC-147 test,17.05,106.16,https://ojs.aaai.org/index.php/AAAI/article/view/28050,Table 1,verified,2026-08-10,Text-conditioned counting.
text_only_standard_gt,DAVEprm,CVPR,2024,text class prompt,FSC-147 training; DAVE prompt-conditioned variant,FSC-147 test,14.9,103.42,https://openaccess.thecvf.com/content/CVPR2024/papers/Pelhan_DAVE_-_A_Detect-and-Verify_Paradigm_for_Low-Shot_Counting_CVPR_2024_paper.pdf,Table 3; paper p.23297 / PDF p.6,verified,2026-08-10,Not the DAVE three-box result.
text_only_standard_gt,GroundingREC,CVPR,2024,referring-expression text,FSC-147 training; pretrained grounding model,FSC-147 test,10.12,107.19,https://openaccess.thecvf.com/content/CVPR2024/papers/Dai_Referring_Expression_Counting_CVPR_2024_paper.pdf,Table 4,verified,2026-08-10,Referring expression may carry richer information than a class name.
text_only_standard_gt,VA-Count,ECCV,2024,text class name,FSC-147 training; vision-language pretrained model,FSC-147 test,17.88,129.31,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00812.pdf,Table 1,verified,2026-08-10,Text-only protocol.
text_only_standard_gt,CountGDtxt,NeurIPS,2024,text only,FSC-147 training; frozen GroundingDINO image/text encoders; trainable counting modules,FSC-147 test,14.76,120.42,https://proceedings.neurips.cc/paper_files/paper/2024/file/57c56985d9afe89bf78a8264c91071aa-Paper-Conference.pdf,Table 1; PDF p.8,verified,2026-08-10,Original GT; not the starred corrected-GT result.
