"abbreviation","title","venue","year","categories","paper_url","code_url","highlight","status","verified_on","notes"
"Lempitsky et al.","Learning To Count Objects in Images","NeurIPS","2010","Class-specific Counting","https://proceedings.neurips.cc/paper/2010/hash/fe73f687e5bc5280214e0486b273a5f9-Abstract.html","https://robots.ox.ac.uk/~vgg/research/counting/index.html","yes","verified","2026-08-10","Seminal density-integral counting paper; author label used because no standard acronym is established"
"Idrees et al.","Multi-source Multi-scale Counting in Extremely Dense Crowd Images","CVPR","2013","Class-specific Counting","https://openaccess.thecvf.com/content_cvpr_2013/html/Idrees_Multi-source_Multi-scale_Counting_2013_CVPR_paper.html","","no","verified","2026-08-10","Classic crowd counting paper; introduced UCF_CC_50; author label used because no standard acronym is established"
"Arteta et al. (2014)","Interactive Object Counting","ECCV","2014","Class-specific Counting","https://doi.org/10.1007/978-3-319-10578-9_33","https://robots.ox.ac.uk/~vgg/research/counting/index.html","no","verified","2026-08-10","Classic interactive point-supervised counting; author label used because no standard acronym is established"
"Zhang et al. (2015)","Cross-Scene Crowd Counting via Deep Convolutional Neural Networks","CVPR","2015","Class-specific Counting","https://openaccess.thecvf.com/content_cvpr_2015/html/Zhang_Cross-Scene_Crowd_Counting_2015_CVPR_paper.html","","no","verified","2026-08-10","Classic cross-scene crowd counting; author label used because no standard acronym is established"
"CVPPP Leaf Counting","Learning to Count Leaves in Rosette Plants","CVPPP Workshop at BMVC","2015","Class-specific Counting","https://vios.science/assets/pdfs/Giuffrida_CVPPP2015.pdf","","no","verified","2026-08-10","Classic agricultural-counting workshop exception; descriptive label used because no standard acronym is established"
"MCNN","Single-Image Crowd Counting via Multi-Column Convolutional Neural Network","CVPR","2016","Class-specific Counting","https://openaccess.thecvf.com/content_cvpr_2016/html/Zhang_Single-Image_Crowd_Counting_CVPR_2016_paper.html","","yes","verified","2026-08-10","Classic crowd counting; introduced ShanghaiTech"
"Arteta et al. (2016)","Counting in the Wild","ECCV","2016","Class-specific Counting","https://doi.org/10.1007/978-3-319-46478-7_30","","no","verified","2026-08-10","Classic animal counting; author label used because no standard acronym is established"
"COWC","A Large Contextual Dataset for Classification Detection and Counting of Cars with Deep Learning","ECCV","2016","Class-specific Counting","https://link.springer.com/chapter/10.1007/978-3-319-46487-9_48","","no","verified","2026-08-10","Classic aerial vehicle counting and COWC dataset"
"Aso-sub","Counting Everyday Objects in Everyday Scenes","CVPR","2017","Class-specific Counting","https://openaccess.thecvf.com/content_cvpr_2017/html/Chattopadhyay_Counting_Everyday_Objects_CVPR_2017_paper.html","","no","verified","2026-08-10","Closed-set multi-class semantic counting precursor"
"LPN","Drone-Based Object Counting by Spatially Regularized Regional Proposal Network","ICCV","2017","Class-specific Counting","https://openaccess.thecvf.com/content_iccv_2017/html/Hsieh_Drone-Based_Object_Counting_ICCV_2017_paper.html","","no","verified","2026-08-10","Vehicle counting and localization; introduced CARPK"
"Count-ception","Count-ception: Counting by Fully Convolutional Redundant Counting","ICCV Workshops","2017","Class-specific Counting","https://openaccess.thecvf.com/content_ICCV_2017_workshops/w1/html/Cohen_Count-ception_Counting_by_ICCV_2017_paper.html","https://github.com/ieee8023/countception","no","verified","2026-08-10","Classic cell-counting workshop exception"
"FCRN","Microscopy Cell Counting and Detection with Fully Convolutional Regression Networks","Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization","2018","Class-specific Counting","https://doi.org/10.1080/21681163.2016.1149104","","no","verified","2026-08-10","Classic microscopy cell counting and detection"
"CSRNet","CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes","CVPR","2018","Class-specific Counting","https://openaccess.thecvf.com/content_cvpr_2018/html/Li_CSRNet_Dilated_Convolutional_CVPR_2018_paper.html","https://github.com/leeyeehoo/CSRNet-pytorch","no","verified","2026-08-10","Classic crowd counting baseline"
