title,type,author_or_organization,year,url,language,status,verified_on,notes
A Survey on Class-Agnostic Counting: Advancements from Reference-Based to Open-World Text-Guided Approaches,survey,Jiang et al.,2026,https://arxiv.org/abs/2501.19184,English,verified,2026-08-10,Comprehensive CAC taxonomy; journal version published in Computer Vision and Image Understanding.
CNN-based Density Estimation and Crowd Counting: A Survey,survey,Gao et al.,2020,https://arxiv.org/abs/2003.12783,English,verified,2026-08-10,Broad survey of density-estimation-based crowd counting; useful background for class-specific counting.
"A Survey on Deep Learning-Based Single Image Crowd Counting: Network Design, Loss Function and Supervisory Signal",survey,Fan et al.,2022,https://doi.org/10.1016/j.neucom.2022.08.037,English,verified,2026-08-10,"Neurocomputing survey organized around architectures, objectives, and supervision."
"Revisiting Crowd Counting: State-of-the-art, Trends, and Future Perspectives",survey,Khan et al.,2023,https://arxiv.org/abs/2209.07271,English,verified,2026-08-10,"Systematic crowd-counting review with model, loss, metric, and benchmark perspectives."
Deep Learning in Crowd Counting: A Survey,survey,Sindagi et al.,2024,https://doi.org/10.1049/cit2.12241,English,verified,2026-08-10,Open-access review in CAAI Transactions on Intelligence Technology.
Survey on Deep Learning Based Crowd Counting,survey,Journal of Computer Research and Development,2021,https://doi.org/10.7544/issn1000-1239.2021.20200699,Chinese,verified,2026-08-10,Chinese-language scholarly survey of deep crowd counting.
Learning to Count Objects in Images,research project page,"Visual Geometry Group, University of Oxford",2010,https://www.robots.ox.ac.uk/~vgg/research/counting/index.html,English,verified,2026-08-10,"Explains classical density estimation, dot supervision, datasets, papers, and code."
Class-Agnostic Counting,research project page,"Visual Geometry Group, University of Oxford",2018,https://www.robots.ox.ac.uk/~vgg/research/class-agnostic-counting/,English,verified,2026-08-10,GMN project overview with publication and training-code links.
Learning To Count Everything (FamNet),official code and dataset guide,Stony Brook CVLab,2021,https://github.com/cvlab-stonybrook/LearningToCountEverything,English,verified,2026-08-10,"Official FSC-147/FamNet repository with setup, dataset, checkpoints, and evaluation instructions."
CounTX: Open-world Text-specified Object Counting,research project page,"Visual Geometry Group, University of Oxford",2023,https://www.robots.ox.ac.uk/~vgg/research/countx/,English,verified,2026-08-10,"Text-specified counting overview with FSC-147-D, examples, paper, code, and models."
CountGD: Multi-Modal Open-World Counting,research project page,"Visual Geometry Group, University of Oxford",2024,https://www.robots.ox.ac.uk/~vgg/research/countgd/,English,verified,2026-08-10,Official multimodal counting page with code and interactive demo.
CountVid: Open-World Object Counting in Videos,research project page,"Visual Geometry Group, University of Oxford",2026,https://www.robots.ox.ac.uk/~vgg/research/countvid/,English,verified,2026-08-10,Official video-counting task and model overview; unique-instance counting rather than per-frame sums.
Count Anything,research project and code,Lei et al.,2026,https://mengqi-lei.github.io/count-anything-projectpage/,English,verified,2026-08-10,"Official unified counting project page covering CLOC, paper, code, checkpoints, and demos."
Awesome Crowd Counting,curated resource list,Community / gjy3035,2019,https://github.com/gjy3035/Awesome-Crowd-Counting,English,verified,2026-08-10,"Long-running crowd-counting bibliography; adjacent resource, not an authoritative leaderboard."
Object Counting using Ultralytics YOLO,official engineering tutorial,Ultralytics,2023,https://docs.ultralytics.com/guides/object-counting/,English,verified,2026-08-10,Detection-and-tracking-based line/region video counting; not density estimation or open-world image counting.
"Object Counting Across Modalities: Taxonomies, Benchmarks, Applications, and Open Challenges",survey,"Owusu and Sheshappanavar",2026,https://arxiv.org/abs/2608.23845,English,verified,2026-08-31,"Cross-modality object-counting survey covering taxonomy, benchmarks, applications, and open challenges."
